id;value;description;language
1;Curve Money;../fake-data/blob/hipster.txt;GREEK
2;Plastic SQL;../fake-data/blob/hipster.txt;GREEK
3;online Concrete;../fake-data/blob/hipster.txt;GREEK
4;parse extranet;../fake-data/blob/hipster.txt;GREEK
5;24/7 Shirt pixel;../fake-data/blob/hipster.txt;ENGLISH
6;client-driven;../fake-data/blob/hipster.txt;ENGLISH
7;Delaware Nevada Metal;../fake-data/blob/hipster.txt;ENGLISH
8;JBOD Sports;../fake-data/blob/hipster.txt;GREEK
9;groupware;../fake-data/blob/hipster.txt;GREEK
10;Berkshire services Valley;../fake-data/blob/hipster.txt;GREEK
