id;value;description;language
1;incentivize;../fake-data/blob/hipster.txt;GREEK
2;Cliffs Account;../fake-data/blob/hipster.txt;ENGLISH
3;primary Manors;../fake-data/blob/hipster.txt;GREEK
4;Account;../fake-data/blob/hipster.txt;GREEK
5;Tasty Account;../fake-data/blob/hipster.txt;ENGLISH
6;Fish Armenia;../fake-data/blob/hipster.txt;GREEK
7;SCSI Personal mission-critical;../fake-data/blob/hipster.txt;GREEK
8;Fresh Books;../fake-data/blob/hipster.txt;ENGLISH
9;Phased;../fake-data/blob/hipster.txt;GREEK
10;infomediaries;../fake-data/blob/hipster.txt;GREEK
