id;value;description;language
1;Generic;../fake-data/blob/hipster.txt;GREEK
2;Pataca cyan;../fake-data/blob/hipster.txt;GREEK
3;primary PNG Integrated;../fake-data/blob/hipster.txt;ENGLISH
4;Expressway maximized Bacon;../fake-data/blob/hipster.txt;ENGLISH
5;Multi-channelled PCI Buckinghamshire;../fake-data/blob/hipster.txt;GREEK
6;tan;../fake-data/blob/hipster.txt;ENGLISH
7;mindshare administration Gorgeous;../fake-data/blob/hipster.txt;GREEK
8;Mobility;../fake-data/blob/hipster.txt;GREEK
9;Toys;../fake-data/blob/hipster.txt;ENGLISH
10;California;../fake-data/blob/hipster.txt;GREEK
