id;value;description;language
1;Table;../fake-data/blob/hipster.txt;ENGLISH
2;Versatile Integration bypassing;../fake-data/blob/hipster.txt;GREEK
3;HTTP Checking;../fake-data/blob/hipster.txt;GREEK
4;transmitting Berkshire Planner;../fake-data/blob/hipster.txt;ENGLISH
5;Belarussian fuchsia Soap;../fake-data/blob/hipster.txt;ENGLISH
6;harness Georgia Hat;../fake-data/blob/hipster.txt;GREEK
7;Tasty methodologies Realigned;../fake-data/blob/hipster.txt;GREEK
8;Verde;../fake-data/blob/hipster.txt;GREEK
9;North Fresh;../fake-data/blob/hipster.txt;ENGLISH
10;visionary;../fake-data/blob/hipster.txt;ENGLISH
