id;value;placeholder;description;language
1;Stand-alone;Account;../fake-data/blob/hipster.txt;GREEK
2;Ferry transmitting Plastic;support bluetooth Frozen;../fake-data/blob/hipster.txt;ENGLISH
3;Lead indexing foreground;data-warehouse;../fake-data/blob/hipster.txt;ENGLISH
4;Borders Alabama Monitored;Alabama Group monetize;../fake-data/blob/hipster.txt;ENGLISH
5;mint Avon;Account;../fake-data/blob/hipster.txt;GREEK
6;Engineer;structure distributed;../fake-data/blob/hipster.txt;ENGLISH
7;Executive Ergonomic;hack Soft Ball;../fake-data/blob/hipster.txt;GREEK
8;rich;primary;../fake-data/blob/hipster.txt;ENGLISH
9;experiences National Shoes;Books iterate Lebanese;../fake-data/blob/hipster.txt;ENGLISH
10;Montana Unbranded;JBOD Cotton;../fake-data/blob/hipster.txt;ENGLISH
