id;value;description;language
1;Intranet Security Berkshire;../fake-data/blob/hipster.txt;ENGLISH
2;Refined;../fake-data/blob/hipster.txt;ENGLISH
3;Berkshire;../fake-data/blob/hipster.txt;ENGLISH
4;Games;../fake-data/blob/hipster.txt;ENGLISH
5;Vincent;../fake-data/blob/hipster.txt;GREEK
6;Licensed;../fake-data/blob/hipster.txt;ENGLISH
7;Practical Rubber;../fake-data/blob/hipster.txt;GREEK
8;Visionary;../fake-data/blob/hipster.txt;ENGLISH
9;Granite;../fake-data/blob/hipster.txt;ENGLISH
10;invoice ROI;../fake-data/blob/hipster.txt;GREEK
