id;value;description;language
1;Data;../fake-data/blob/hipster.txt;ENGLISH
2;Cambridgeshire AI;../fake-data/blob/hipster.txt;ENGLISH
3;Manat copy Coordinator;../fake-data/blob/hipster.txt;ENGLISH
4;front-end array Architect;../fake-data/blob/hipster.txt;GREEK
5;Facilitator transitional markets;../fake-data/blob/hipster.txt;ENGLISH
6;Jersey Account;../fake-data/blob/hipster.txt;ENGLISH
7;Soft calculate;../fake-data/blob/hipster.txt;ENGLISH
8;alliance;../fake-data/blob/hipster.txt;GREEK
9;quantify;../fake-data/blob/hipster.txt;ENGLISH
10;withdrawal;../fake-data/blob/hipster.txt;GREEK
