id;value;description;language
1;Brand Engineer;../fake-data/blob/hipster.txt;ENGLISH
2;SCSI quantifying;../fake-data/blob/hipster.txt;ENGLISH
3;Kids one-to-one;../fake-data/blob/hipster.txt;GREEK
4;Islands;../fake-data/blob/hipster.txt;GREEK
5;Plaza Customer-focused Mouse;../fake-data/blob/hipster.txt;GREEK
6;HTTP Garden Cotton;../fake-data/blob/hipster.txt;GREEK
7;Togo;../fake-data/blob/hipster.txt;ENGLISH
8;1080p copy;../fake-data/blob/hipster.txt;ENGLISH
9;Mill;../fake-data/blob/hipster.txt;GREEK
10;Clothing intermediate Hat;../fake-data/blob/hipster.txt;GREEK
