id;value;check_box_value;description;language
1;empower;false;../fake-data/blob/hipster.txt;GREEK
2;open-source;false;../fake-data/blob/hipster.txt;ENGLISH
3;yellow stable Fiji;false;../fake-data/blob/hipster.txt;ENGLISH
4;integrate object-oriented migration;false;../fake-data/blob/hipster.txt;ENGLISH
5;Future connecting;false;../fake-data/blob/hipster.txt;GREEK
6;local;false;../fake-data/blob/hipster.txt;GREEK
7;Rustic;true;../fake-data/blob/hipster.txt;ENGLISH
8;e-services Refined;true;../fake-data/blob/hipster.txt;GREEK
9;navigate deposit;false;../fake-data/blob/hipster.txt;GREEK
10;Handmade;true;../fake-data/blob/hipster.txt;GREEK
