id;value;tab;description;language
1;Kids Generic bus;21857;../fake-data/blob/hipster.txt;GREEK
2;Nigeria;67869;../fake-data/blob/hipster.txt;GREEK
3;Web;55843;../fake-data/blob/hipster.txt;ENGLISH
4;Via;46471;../fake-data/blob/hipster.txt;ENGLISH
5;Leu;95029;../fake-data/blob/hipster.txt;GREEK
6;Texas Market;80761;../fake-data/blob/hipster.txt;ENGLISH
7;benchmark;83690;../fake-data/blob/hipster.txt;GREEK
8;Silver;70010;../fake-data/blob/hipster.txt;GREEK
9;turquoise;65669;../fake-data/blob/hipster.txt;GREEK
10;Central unleash Distributed;13197;../fake-data/blob/hipster.txt;GREEK
