id;value;description;language
1;Gorgeous coherent;../fake-data/blob/hipster.txt;ENGLISH
2;RSS Haven;../fake-data/blob/hipster.txt;GREEK
3;Open-architected;../fake-data/blob/hipster.txt;ENGLISH
4;generate cultivate system;../fake-data/blob/hipster.txt;ENGLISH
5;Chicken repurpose;../fake-data/blob/hipster.txt;ENGLISH
6;Berkshire Sleek Wall;../fake-data/blob/hipster.txt;ENGLISH
7;deposit iterate;../fake-data/blob/hipster.txt;ENGLISH
8;array Estonia Brunei;../fake-data/blob/hipster.txt;GREEK
9;orange SDR;../fake-data/blob/hipster.txt;GREEK
10;Balanced Refined;../fake-data/blob/hipster.txt;GREEK
