id;value;description;language
1;Markets Cocos Hat;../fake-data/blob/hipster.txt;ENGLISH
2;infrastructure;../fake-data/blob/hipster.txt;ENGLISH
3;incubate Handcrafted experiences;../fake-data/blob/hipster.txt;ENGLISH
4;database Handmade Assistant;../fake-data/blob/hipster.txt;ENGLISH
5;maximize payment;../fake-data/blob/hipster.txt;GREEK
6;synergy deposit deliverables;../fake-data/blob/hipster.txt;GREEK
7;bifurcated;../fake-data/blob/hipster.txt;ENGLISH
8;Mission;../fake-data/blob/hipster.txt;GREEK
9;Bacon;../fake-data/blob/hipster.txt;GREEK
10;Usability invoice;../fake-data/blob/hipster.txt;ENGLISH
