id;value;description;placeholder;unique_characteristic;language
1;Solutions Rubber;../fake-data/blob/hipster.txt;generate logistical;azure;GREEK
2;Engineer;../fake-data/blob/hipster.txt;neural;orchestration magenta;GREEK
3;Engineer salmon Loan;../fake-data/blob/hipster.txt;Incredible bypassing Chief;Towels;ENGLISH
4;Burgs reboot;../fake-data/blob/hipster.txt;blue Islands;Lebanon e-business;GREEK
5;Mount;../fake-data/blob/hipster.txt;extend;Macedonia Krona;GREEK
6;Zambian;../fake-data/blob/hipster.txt;generating withdrawal RAM;Cambridgeshire Account Sausages;GREEK
7;Unbranded Peso;../fake-data/blob/hipster.txt;Borders;Flats Lithuanian;ENGLISH
8;full-range;../fake-data/blob/hipster.txt;solid deposit;asynchronous encoding Analyst;GREEK
9;tan Cotton;../fake-data/blob/hipster.txt;Garden;application;GREEK
10;engineer definition;../fake-data/blob/hipster.txt;Shoes Markets;transmitter system Arabia;ENGLISH
