id;value;description;language
1;Identity Account Multi-tiered;../fake-data/blob/hipster.txt;ENGLISH
2;seize;../fake-data/blob/hipster.txt;GREEK
3;wireless;../fake-data/blob/hipster.txt;GREEK
4;Diverse;../fake-data/blob/hipster.txt;ENGLISH
5;connecting;../fake-data/blob/hipster.txt;GREEK
6;Soft;../fake-data/blob/hipster.txt;GREEK
7;Sports Developer;../fake-data/blob/hipster.txt;GREEK
8;Kansas Concrete;../fake-data/blob/hipster.txt;ENGLISH
9;framework Account;../fake-data/blob/hipster.txt;ENGLISH
10;bypassing web;../fake-data/blob/hipster.txt;GREEK
