id;value;description;placeholder;unique_characteristic;language
1;Buckinghamshire;../fake-data/blob/hipster.txt;Beauty Antilles Shoes;Car Plastic Ergonomic;ENGLISH
2;Frozen Virginia Infrastructure;../fake-data/blob/hipster.txt;Ball indexing;EXE;GREEK
3;granular Hat withdrawal;../fake-data/blob/hipster.txt;ROI Consultant;invoice calculating;ENGLISH
4;Fiji;../fake-data/blob/hipster.txt;Baby navigating expedite;convergence Group panel;ENGLISH
5;solution;../fake-data/blob/hipster.txt;Towels synergistic;payment lime Chicken;GREEK
6;Antilles;../fake-data/blob/hipster.txt;turquoise Right-sized;Streets connecting;ENGLISH
7;HTTP invoice Associate;../fake-data/blob/hipster.txt;Implementation;Web;GREEK
8;turquoise Credit;../fake-data/blob/hipster.txt;Automotive;Rwanda;GREEK
9;Swiss monitoring;../fake-data/blob/hipster.txt;virtual;Orchestrator value-added RSS;ENGLISH
10;FTP alarm withdrawal;../fake-data/blob/hipster.txt;empower Investment Borders;Account;GREEK
