id;value;description;language
1;encoding user-centric;../fake-data/blob/hipster.txt;GREEK
2;Baby;../fake-data/blob/hipster.txt;GREEK
3;Pizza;../fake-data/blob/hipster.txt;GREEK
4;Keyboard Cotton Account;../fake-data/blob/hipster.txt;GREEK
5;bypass Re-engineered invoice;../fake-data/blob/hipster.txt;ENGLISH
6;bypassing application Open-architected;../fake-data/blob/hipster.txt;ENGLISH
7;Card Technician;../fake-data/blob/hipster.txt;GREEK
8;microchip interface;../fake-data/blob/hipster.txt;ENGLISH
9;impactful online Practical;../fake-data/blob/hipster.txt;ENGLISH
10;secured;../fake-data/blob/hipster.txt;ENGLISH
