id;value;description;language
1;empowering;../fake-data/blob/hipster.txt;GREEK
2;Incredible;../fake-data/blob/hipster.txt;ENGLISH
3;calculating multi-tasking;../fake-data/blob/hipster.txt;ENGLISH
4;Graphic;../fake-data/blob/hipster.txt;ENGLISH
5;GB Inverse Dynamic;../fake-data/blob/hipster.txt;ENGLISH
6;complexity Refined;../fake-data/blob/hipster.txt;ENGLISH
7;program Sausages solution;../fake-data/blob/hipster.txt;ENGLISH
8;wireless Functionality Chilean;../fake-data/blob/hipster.txt;ENGLISH
9;web-readiness;../fake-data/blob/hipster.txt;ENGLISH
10;Islands;../fake-data/blob/hipster.txt;ENGLISH
