id;value;description;language
1;UIC-Franc;../fake-data/blob/hipster.txt;ENGLISH
2;user-centric instruction;../fake-data/blob/hipster.txt;GREEK
3;leverage Diverse;../fake-data/blob/hipster.txt;ENGLISH
4;Uruguay Customer;../fake-data/blob/hipster.txt;ENGLISH
5;Borders e-enable blue;../fake-data/blob/hipster.txt;GREEK
6;methodical;../fake-data/blob/hipster.txt;GREEK
7;Group Utah;../fake-data/blob/hipster.txt;GREEK
8;Assistant Fresh Orchestrator;../fake-data/blob/hipster.txt;ENGLISH
9;transmit PNG;../fake-data/blob/hipster.txt;ENGLISH
10;tangible;../fake-data/blob/hipster.txt;ENGLISH
