id;value;description;language
1;Enterprise-wide value-added;../fake-data/blob/hipster.txt;GREEK
2;portals;../fake-data/blob/hipster.txt;ENGLISH
3;syndicate scale;../fake-data/blob/hipster.txt;GREEK
4;emulation;../fake-data/blob/hipster.txt;ENGLISH
5;PCI copying context-sensitive;../fake-data/blob/hipster.txt;GREEK
6;Mobility;../fake-data/blob/hipster.txt;GREEK
7;Stand-alone Buckinghamshire success;../fake-data/blob/hipster.txt;GREEK
8;Corporate Account Vanuatu;../fake-data/blob/hipster.txt;GREEK
9;Assurance;../fake-data/blob/hipster.txt;GREEK
10;Executive withdrawal;../fake-data/blob/hipster.txt;ENGLISH
