id;value;description;language
1;e-enable;../fake-data/blob/hipster.txt;ENGLISH
2;Nevada Money;../fake-data/blob/hipster.txt;ENGLISH
3;Home;../fake-data/blob/hipster.txt;ENGLISH
4;Architect calculating;../fake-data/blob/hipster.txt;ENGLISH
5;Beauty;../fake-data/blob/hipster.txt;ENGLISH
6;Borders white deposit;../fake-data/blob/hipster.txt;GREEK
7;high-level copy Consultant;../fake-data/blob/hipster.txt;GREEK
8;Kiribati Compatible olive;../fake-data/blob/hipster.txt;GREEK
9;microchip;../fake-data/blob/hipster.txt;ENGLISH
10;dot-com Table;../fake-data/blob/hipster.txt;GREEK
