id;value;check_box_value;description;language
1;Facilitator Kids Account;true;../fake-data/blob/hipster.txt;GREEK
2;Investment Consultant Books;false;../fake-data/blob/hipster.txt;GREEK
3;support plum Car;true;../fake-data/blob/hipster.txt;ENGLISH
4;synergies;false;../fake-data/blob/hipster.txt;ENGLISH
5;index deliverables Metal;true;../fake-data/blob/hipster.txt;ENGLISH
6;Architect Representative;false;../fake-data/blob/hipster.txt;GREEK
7;transmitting;true;../fake-data/blob/hipster.txt;ENGLISH
8;SAS;false;../fake-data/blob/hipster.txt;ENGLISH
9;azure Intelligent;false;../fake-data/blob/hipster.txt;ENGLISH
10;Fish mobile Personal;false;../fake-data/blob/hipster.txt;ENGLISH
