id;value;description;language
1;scalable streamline invoice;../fake-data/blob/hipster.txt;GREEK
2;systems silver;../fake-data/blob/hipster.txt;ENGLISH
3;virtual Georgia Account;../fake-data/blob/hipster.txt;GREEK
4;card;../fake-data/blob/hipster.txt;ENGLISH
5;AI Savings;../fake-data/blob/hipster.txt;ENGLISH
6;Dynamic Phased;../fake-data/blob/hipster.txt;ENGLISH
7;Louisiana Decentralized;../fake-data/blob/hipster.txt;GREEK
8;platforms Towels initiatives;../fake-data/blob/hipster.txt;ENGLISH
9;PNG;../fake-data/blob/hipster.txt;GREEK
10;Markets bluetooth;../fake-data/blob/hipster.txt;GREEK
