id;value;description;language
1;Account;../fake-data/blob/hipster.txt;ENGLISH
2;Small Bike;../fake-data/blob/hipster.txt;ENGLISH
3;orange;../fake-data/blob/hipster.txt;GREEK
4;Plastic York Down-sized;../fake-data/blob/hipster.txt;GREEK
5;enhance wireless Lev;../fake-data/blob/hipster.txt;GREEK
6;systemic;../fake-data/blob/hipster.txt;ENGLISH
7;Borders Organic Table;../fake-data/blob/hipster.txt;ENGLISH
8;Home Total;../fake-data/blob/hipster.txt;ENGLISH
9;withdrawal pixel;../fake-data/blob/hipster.txt;ENGLISH
10;Iceland infrastructures;../fake-data/blob/hipster.txt;GREEK
